0.2	1.39	1.35
0.2033	1.38	1.37
0.2066	1.38	1.4
0.2101	1.37	1.43
0.2138	1.36	1.47
0.2214	1.36	1.54
0.2296	1.36	1.61
0.2384	1.36	1.67
0.248	1.36	1.76
0.2583	1.38	1.85
0.2695	1.39	1.95
0.2818	1.43	2.04
0.2952	1.45	2.14
0.31	1.49	2.25
0.3179	1.51	2.32
0.3263	1.53	2.37
0.3351	1.56	2.42
0.3444	1.58	2.48
0.3542	1.6	2.55
0.3647	1.62	2.62
0.3757	1.65	2.69
0.3874	1.68	2.76
0.3999	1.72	2.84
0.4133	1.75	2.92
0.4275	1.79	3.01
0.4428	1.83	3.1
0.4592	1.87	3.2
0.4769	1.91	3.3
0.4959	1.96	3.42
0.5166	2.03	3.54
0.539	2.1	3.67
0.5636	2.17	3.77
0.5904	2.23	3.92
0.6199	2.3	4.07
0.6525	2.38	4.26
0.6888	2.51	4.43
0.7293	2.63	4.63
0.7749	2.76	4.84
0.8265	2.92	5.07
0.8856	3.1	5.32
0.9537	3.29	5.61
1.033	3.55	5.92
1.078	3.7	6.08
1.127	3.86	6.24
1.181	4.03	6.44
1.24	4.25	6.62
